wallet,tx_count,total_value_eth_sent,total_value_eth_received,avg_gas,unique_recipients,unique_senders,contract_call_ratio,tx_frequency,tokens_sent_count,tokens_received_count,unique_tokens_sent,unique_tokens_received
0x00126801513514616a6bdbaa866ff7691475d99a,11.0,0.0022199661755531,0.0,85375.45454545454,2.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0
0x001359f88b63acf76468f6ed0781b4b26a8b33ed,0.0,0.0,0.22999999999999998,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,1.0
0x001406b25fb536986c621592e54b085482ebb49f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0
0x00152d5586eb1084ff4ad33a9d91c2aa100112a1,1.0,0.0,0.0,90000.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0
0x00156e1aa205a2712a68fd96650842ab220f5561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,12.0,2.0,2.0
0x001b6450083e531a5a7bf310bd2c1af4247e23d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,46.0,2.0,2.0
0x001d308a9f95506a93a156cc04967ca3b3e46bb7,4.0,0.0065917333627655,0.0035918333627655,183052.5,3.0,1.0,0.75,4.0,1.0,1.0,1.0,1.0
0x001d31aee3ed7a768b31a131082a098d94a706cc,2.0,0.0,0.0,420222.0,1.0,0.0,1.0,2.0,4.0,2.0,2.0,2.0
0x0021758395ee676dc0ba74e29f8aebbfb3c0e486,1.0,4.8,0.0,2693776.0,1.0,0.0,1.0,1.0,0.0,5.0,0.0,1.0
0x0026038a7fefef439d94bd99b4a10017e839d3a7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,5.0,1.0,1.0
0x002bbd91bdbd2d651f67b8774ad875634a93e29a,3.0,0.0,3.0000000000000004e-09,100000.0,1.0,3.0,1.0,3.0,16.0,13.0,5.0,1.0
0x002bde9b0c0857aee2cffdea6b8723eaf5989449,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0x002d187f016fe5459b2ae687c3f46ce6f5763b0d,3.0,0.26,0.0,425991.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,1.0
0x002e5589f147306dbe85b61cfa976b76c3f95424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,2.0
0x00326804fe6148bf5ce218db6cbb285c4627a4b8,2.0,0.0,0.0,147080.5,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
0x00337358fe72c961b968775c06440a0ca80d2554,5.0,0.003,1e-09,50241.6,3.0,1.0,0.6,5.0,3.0,4.0,1.0,2.0
0x003491e2d9dc4763159bfcd8b08ef3177ed688e5,3.0,0.0,0.0,75198.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
0x0035e0a1f9aa92ca286e0be55c6bc04c7ed98007,5.0,0.4226626268977969,0.0,320000.0,3.0,0.0,1.0,5.0,1.0,3.0,1.0,2.0
0x0037825fd75af7eeace28889665e3fac8fdb6300,8.0,0.0,0.0,1400000.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
0x003896387666c5c11458eeb3f927b72a11b19783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,1.0
0x003ca23fd5f0ca87d01f6ec6cd14a8ae60c2b97d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,2.0,4.0
0x003d8d2768e9477b67d0eb4835c89520ba529d66,4.0,0.01818,0.0,108995.25,3.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0
0x003dc0cc2b7edfbbd9b69893146b4c4fda4b29e1,2.0,0.009933353406724,0.00999762761041,42022.0,2.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0
0x003e17037f18a1bcfa19acbe0bacb5f8f1a6fdaa,10.0,2.919814220621018,1.0721401181972654,164277.2,6.0,1.0,0.9,10.0,2.0,3.0,1.0,2.0
0x004375dff511095cc5a197a54140a24efef3a416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.0,2.0
0x004395edb43efca9885cedad51ec9faf93bd34ac,0.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,18.0,5.0,1.0,1.0
0x0044f546441189f13bbc78f1dce26e0c345384e5,2.0,0.0,0.0,1131420.5,1.0,0.0,1.0,2.0,8.0,3.0,2.0,2.0
0x004563798a6f9928dda294454325076ddf611ae9,3.0,0.0507806275496813,0.0,440390.6666666667,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0
0x0048196ac0a605c3e15a8b2e9bb0f1484131ee38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0
0x004b38217d000000001e4f000034a6f30026bf1c,40.0,3.493e-15,0.0,230908.2,1.0,0.0,1.0,40.0,0.0,0.0,0.0,0.0
0x004ca129c71da487afd603bb123b12398a3c5a23,2.0,0.0,0.0,72976.5,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0
0x004ebe7427c82fcb35daded272ef67609418c2b0,3.0,0.0,0.01188295,315281.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0
0x0050991ec1a3714b1357dee80976bfb1da46d47c,9.0,0.21466666666666662,0.0,338115.0,4.0,0.0,1.0,9.0,3.0,3.0,2.0,2.0
0x0051cc1d8bbf0b3373b02e22ea5a2fe483266cea,22.0,0.0,0.0,46618.86363636364,16.0,0.0,1.0,22.0,22.0,53.0,16.0,18.0
0x0055cde7a3366fc3554f71e4473b4944951d1d3c,1.0,0.0,0.0,671043.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0
0x0058962144b9ae405ee629b930262c97daa66826,13.0,0.87032,0.0,707560.3846153846,4.0,0.0,0.9230769230769231,13.0,12.0,9.0,5.0,5.0
0x0058e977eed034c75ad34aa07d26b1d7ecbed855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0
0x005969bf0ecbf6edb6c47e5e94693b1c3651be97,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0x005a97c7a3b3ff0e10d2debf38d0daa9a605782c,3.0,0.0,0.0,257081.33333333334,2.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0
0x005b27699aecb39c742aeea005ce580ae091c520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0
0x00644a4825dc51ee35efd21431004d668924131e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0
0x00656c604fc470e6a566a695b74455e18a6d75d3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0065ac41ba1d37df3226de8dc12a610ba137a4d5,1.0,0.0,2.497e-05,45758.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
0x0065adab45e10ac347fcd71c6d8bab5019b3aaaf,4.0,0.0,0.0,70000.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0
0x0067431dec3841e994040d1684a0d2b8356c7ec7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0x0067cc2416f792cf0ec5629f5506324ac508f859,296.0,7.113149993774075,7.216213107978934,34483.83783783784,231.0,27.0,0.21283783783783783,296.0,63.0,348.0,2.0,1.0
0x0069e050f608821b89147405c1f849135ec55cb9,6.0,0.0,1.5849083944945692,88046.16666666667,1.0,1.0,1.0,6.0,6.0,0.0,1.0,0.0
0x006a19154faa5070c0cd091dd2b9b32a45a8be05,4.0,0.0,0.0,422251.5,2.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0
0x006efd41f17137bb4907b013832d3b010e847be0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
0x006fe2c60832e4e8f0a116dc46a4fa6c1ace57a4,1.0,0.0,0.0,64043.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0
0x00700052c0608f670705380a4900e0a8080010cc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,107.0,8.0,35.0
0x007839130377fcb1ce44bb72451286a77875bace,5.0,0.0523398074767414,0.05609,59945.6,2.0,2.0,0.8,5.0,4.0,3.0,1.0,1.0
0x007849db50341e18acee281c9a970a183c6c7e62,3.0,0.0,0.0,70695.33333333333,2.0,0.0,1.0,3.0,3.0,0.0,2.0,0.0
0x007881ba44e94a039895866aeedf82ed829a59a3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0
0x0079a23edea601190edf1cda05c8af3fea2f2d9f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0
0x007b8eb47956bc6e92f35647132280382d897c46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0
0x007d89690f5626b5b0f41a6a7a07e579ee363181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,5.0
0x007f9d679769aa139b969eb524bb2d902e2c0fee,4.0,0.3652149978516329,0.0,166498.0,4.0,0.0,0.75,4.0,0.0,1.0,0.0,1.0
0x0080d66ef962f15b8566fb3b399982c4abaeb25b,4.0,0.17,0.0,239930.75,3.0,0.0,1.0,4.0,0.0,2.0,0.0,2.0
0x00836fe54625be242bcfa286207795405ca4fd10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,33.0,2.0,2.0
