wallet,pca1,pca2,umap1,umap2,km_cluster,db_cluster,hdb_cluster,archetype
0x003ca23fd5f0ca87d01f6ec6cd14a8ae60c2b97d,-3.0142832189245925,1.2507354773348407,15.004471,-7.4467955,0,4,3,Casual ETH user
0x003d8d2768e9477b67d0eb4835c89520ba529d66,1.6754938041317282,-1.2415343999184143,5.2767634,9.602649,2,7,5,Likely bot / MEV
0x003dc0cc2b7edfbbd9b69893146b4c4fda4b29e1,0.33447406294481863,-0.5277748435497015,12.531336,-6.8600965,3,3,7,Token receiver / airdrop
0x003e17037f18a1bcfa19acbe0bacb5f8f1a6fdaa,2.7005571211546098,1.3396879202028664,11.016261,-2.7403965,3,-1,-1,Token receiver / airdrop
0x004375dff511095cc5a197a54140a24efef3a416,-2.9422177680392627,0.8235556941640337,-1.5523958,-19.821192,0,4,3,Casual ETH user
0x004395edb43efca9885cedad51ec9faf93bd34ac,-3.232937317207343,0.5432701399052479,12.20999,-9.71928,0,-1,-1,Casual ETH user
0x0044f546441189f13bbc78f1dce26e0c345384e5,0.4472086138613409,1.2188603898349517,7.3274345,-0.070239745,3,3,8,Token receiver / airdrop
0x004563798a6f9928dda294454325076ddf611ae9,1.2398436503223722,-0.3922476444129659,19.351467,-3.9657497,3,3,8,Token receiver / airdrop
0x0048196ac0a605c3e15a8b2e9bb0f1484131ee38,-2.6743542109849634,-0.33714404267774906,-12.275148,1.5407977,0,5,1,Casual ETH user
0x004b38217d000000001e4f000034a6f30026bf1c,3.3948002183616324,-1.9250877670994413,3.716515,3.764886,2,2,4,Likely bot / MEV
0x004ca129c71da487afd603bb123b12398a3c5a23,0.4738631773005877,-0.12004387530581549,20.407833,10.067822,3,3,8,Token receiver / airdrop
0x004ebe7427c82fcb35daded272ef67609418c2b0,1.0882929255614195,-0.25362872389663077,14.081928,-4.0128837,3,3,7,Token receiver / airdrop
0x0050991ec1a3714b1357dee80976bfb1da46d47c,2.153890697466781,1.2020751837893928,8.950406,1.205437,3,3,8,Token receiver / airdrop
0x0051cc1d8bbf0b3373b02e22ea5a2fe483266cea,2.5271260682330325,6.492142428064119,11.445014,-0.73660576,3,-1,-1,Token receiver / airdrop
0x0055cde7a3366fc3554f71e4473b4944951d1d3c,0.22976094130751104,0.1611861268022011,0.5167571,-4.7310605,3,3,8,Token receiver / airdrop
0x0058962144b9ae405ee629b930262c97daa66826,2.1587603047889026,3.523633941277306,10.541505,-0.37013197,3,-1,-1,Token receiver / airdrop
0x0058e977eed034c75ad34aa07d26b1d7ecbed855,-2.700945245705452,-0.21441722260875168,-8.223777,-15.890033,0,5,1,Casual ETH user
